Data		Hora       Temp_atual	Temp_med	Temp_min	Temp_max      Umi_atual     Umi_med     Umi_min     Umi_max
02/10/2024	15:02:47    26.53 °C	 26.53 °C	26.53 °C	 26.53 °C     42.39 RH      42.39 RH    42.39 RH    42.39 RH   
02/10/2024	15:02:53    26.50 °C	 26.51 °C	26.50 °C	 26.53 °C     42.37 RH      42.38 RH    42.37 RH    42.39 RH   
02/10/2024	15:02:58    26.51 °C	 26.51 °C	26.50 °C	 26.53 °C     42.37 RH      42.38 RH    42.37 RH    42.39 RH   
02/10/2024	15:03:03    26.50 °C	 26.51 °C	26.50 °C	 26.53 °C     42.38 RH      42.38 RH    42.37 RH    42.39 RH   
02/10/2024	15:03:08    26.51 °C	 26.51 °C	26.50 °C	 26.53 °C     42.36 RH      42.38 RH    42.36 RH    42.39 RH   
02/10/2024	15:03:13    26.47 °C	 26.50 °C	26.47 °C	 26.53 °C     42.40 RH      42.38 RH    42.36 RH    42.40 RH   
02/10/2024	15:03:18    26.46 °C	 26.50 °C	26.46 °C	 26.53 °C     42.44 RH      42.39 RH    42.36 RH    42.44 RH   
02/10/2024	15:03:23    26.47 °C	 26.49 °C	26.46 °C	 26.53 °C     42.44 RH      42.39 RH    42.36 RH    42.44 RH   
02/10/2024	15:03:28    26.49 °C	 26.49 °C	26.46 °C	 26.53 °C     42.42 RH      42.40 RH    42.36 RH    42.44 RH   
02/10/2024	15:03:33    26.46 °C	 26.49 °C	26.46 °C	 26.53 °C     42.44 RH      42.40 RH    42.36 RH    42.44 RH   
02/10/2024	15:03:38    26.46 °C	 26.49 °C	26.46 °C	 26.53 °C     42.42 RH      42.40 RH    42.36 RH    42.44 RH   
02/10/2024	15:03:43    26.47 °C	 26.49 °C	26.46 °C	 26.53 °C     42.40 RH      42.40 RH    42.36 RH    42.44 RH   
02/10/2024	15:03:48    26.49 °C	 26.49 °C	26.46 °C	 26.53 °C     42.45 RH      42.41 RH    42.36 RH    42.45 RH   
02/10/2024	15:03:53    26.47 °C	 26.49 °C	26.46 °C	 26.53 °C     42.45 RH      42.41 RH    42.36 RH    42.45 RH   
02/10/2024	15:03:58    26.47 °C	 26.48 °C	26.46 °C	 26.53 °C     42.44 RH      42.41 RH    42.36 RH    42.45 RH   
02/10/2024	15:04:03    26.47 °C	 26.48 °C	26.46 °C	 26.53 °C     42.48 RH      42.42 RH    42.36 RH    42.48 RH   
02/10/2024	15:04:08    26.49 °C	 26.48 °C	26.46 °C	 26.53 °C     42.51 RH      42.42 RH    42.36 RH    42.51 RH   
02/10/2024	15:04:13    26.47 °C	 26.48 °C	26.46 °C	 26.53 °C     42.47 RH      42.42 RH    42.36 RH    42.51 RH   
02/10/2024	15:04:18    26.46 °C	 26.48 °C	26.46 °C	 26.53 °C     42.49 RH      42.43 RH    42.36 RH    42.51 RH   
02/10/2024	15:04:23    26.50 °C	 26.48 °C	26.46 °C	 26.53 °C     42.50 RH      42.43 RH    42.36 RH    42.51 RH   
02/10/2024	15:04:28    26.49 °C	 26.48 °C	26.46 °C	 26.53 °C     42.52 RH      42.44 RH    42.36 RH    42.52 RH   
02/10/2024	15:04:33    26.49 °C	 26.48 °C	26.46 °C	 26.53 °C     42.47 RH      42.44 RH    42.36 RH    42.52 RH   
02/10/2024	15:04:38    26.49 °C	 26.48 °C	26.46 °C	 26.53 °C     42.48 RH      42.44 RH    42.36 RH    42.52 RH   
02/10/2024	15:04:43    26.48 °C	 26.48 °C	26.46 °C	 26.53 °C     100.00 RH      44.84 RH    42.36 RH    100.00 RH   
02/10/2024	15:04:48    130.00 °C	 30.62 °C	26.46 °C	 130.00 °C     100.00 RH      47.04 RH    42.36 RH    100.00 RH   
02/10/2024	15:04:53    26.49 °C	 30.46 °C	26.46 °C	 130.00 °C     42.58 RH      46.87 RH    42.36 RH    100.00 RH   
02/10/2024	15:04:58    26.44 °C	 30.32 °C	26.44 °C	 130.00 °C     42.67 RH      46.72 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:03    26.47 °C	 30.18 °C	26.44 °C	 130.00 °C     42.66 RH      46.57 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:08    26.46 °C	 30.05 °C	26.44 °C	 130.00 °C     42.58 RH      46.43 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:13    26.49 °C	 29.93 °C	26.44 °C	 130.00 °C     42.54 RH      46.30 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:18    26.47 °C	 29.82 °C	26.44 °C	 130.00 °C     42.55 RH      46.18 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:23    26.47 °C	 29.72 °C	26.44 °C	 130.00 °C     42.57 RH      46.07 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:28    26.49 °C	 29.62 °C	26.44 °C	 130.00 °C     42.57 RH      45.96 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:33    26.47 °C	 29.52 °C	26.44 °C	 130.00 °C     42.53 RH      45.86 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:38    26.47 °C	 29.44 °C	26.44 °C	 130.00 °C     42.49 RH      45.77 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:43    26.47 °C	 29.36 °C	26.44 °C	 130.00 °C     42.49 RH      45.68 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:48    26.47 °C	 29.28 °C	26.44 °C	 130.00 °C     42.45 RH      45.59 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:53    26.49 °C	 29.20 °C	26.44 °C	 130.00 °C     42.48 RH      45.51 RH    42.36 RH    100.00 RH   
02/10/2024	15:05:58    26.49 °C	 29.13 °C	26.44 °C	 130.00 °C     42.45 RH      45.43 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:03    26.47 °C	 29.07 °C	26.44 °C	 130.00 °C     42.49 RH      45.36 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:08    26.47 °C	 29.00 °C	26.44 °C	 130.00 °C     42.45 RH      45.28 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:13    26.47 °C	 28.94 °C	26.44 °C	 130.00 °C     42.47 RH      45.22 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:18    26.47 °C	 28.89 °C	26.44 °C	 130.00 °C     42.44 RH      45.15 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:23    26.49 °C	 28.83 °C	26.44 °C	 130.00 °C     42.51 RH      45.09 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:28    26.50 °C	 28.78 °C	26.44 °C	 130.00 °C     42.41 RH      45.03 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:33    26.47 °C	 28.73 °C	26.44 °C	 130.00 °C     42.41 RH      44.98 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:38    26.47 °C	 28.68 °C	26.44 °C	 130.00 °C     42.45 RH      44.92 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:43    26.50 °C	 28.64 °C	26.44 °C	 130.00 °C     42.44 RH      44.87 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:48    26.49 °C	 28.59 °C	26.44 °C	 130.00 °C     42.41 RH      44.82 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:53    26.49 °C	 28.55 °C	26.44 °C	 130.00 °C     42.42 RH      44.77 RH    42.36 RH    100.00 RH   
02/10/2024	15:06:58    26.50 °C	 28.51 °C	26.44 °C	 130.00 °C     42.43 RH      44.73 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:03    26.50 °C	 28.47 °C	26.44 °C	 130.00 °C     42.44 RH      44.68 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:08    26.50 °C	 28.43 °C	26.44 °C	 130.00 °C     42.44 RH      44.64 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:13    26.49 °C	 28.40 °C	26.44 °C	 130.00 °C     42.45 RH      44.60 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:18    26.49 °C	 28.36 °C	26.44 °C	 130.00 °C     42.44 RH      44.56 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:23    26.49 °C	 28.33 °C	26.44 °C	 130.00 °C     42.47 RH      44.52 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:28    26.50 °C	 28.30 °C	26.44 °C	 130.00 °C     42.48 RH      44.49 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:33    26.50 °C	 28.27 °C	26.44 °C	 130.00 °C     42.44 RH      44.45 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:38    26.50 °C	 28.24 °C	26.44 °C	 130.00 °C     42.48 RH      44.42 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:43    26.49 °C	 28.21 °C	26.44 °C	 130.00 °C     42.44 RH      44.39 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:48    26.50 °C	 28.18 °C	26.44 °C	 130.00 °C     42.44 RH      44.35 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:53    26.49 °C	 28.15 °C	26.44 °C	 130.00 °C     42.44 RH      44.32 RH    42.36 RH    100.00 RH   
02/10/2024	15:07:58    26.50 °C	 28.13 °C	26.44 °C	 130.00 °C     42.53 RH      44.29 RH    42.36 RH    100.00 RH   
02/10/2024	15:08:03    26.50 °C	 28.10 °C	26.44 °C	 130.00 °C     42.47 RH      44.27 RH    42.36 RH    100.00 RH   
02/10/2024	15:08:08    26.51 °C	 28.08 °C	26.44 °C	 130.00 °C     42.44 RH      44.24 RH    42.36 RH    100.00 RH   
02/10/2024	15:08:13    26.51 °C	 28.05 °C	26.44 °C	 130.00 °C     42.44 RH      44.21 RH    42.36 RH    100.00 RH   
02/10/2024	15:08:18    26.50 °C	 28.03 °C	26.44 °C	 130.00 °C     42.41 RH      44.18 RH    42.36 RH    100.00 RH   
02/10/2024	15:08:23    26.51 °C	 28.01 °C	26.44 °C	 130.00 °C     42.43 RH      44.16 RH    42.36 RH    100.00 RH   
